Benchmark,Steady Percentage
org_imglibproj_imglib2method_net.imglib2.loops.SyncedPositionablesBenchmark.benchmark5params_,"([0.8065486134313398, 0.8065486134313398, 0.8065486134313398, 0.8064839572192514, 0.8064839572192514, 0.8064839572192514, 0.8065486134313398, 0.8066132264529058, 0.8066132264529058, 0.8065486134313398], [5.42608901585457, 5.438237602909063, 5.4304344994909375, 5.4432771723636195, 5.442453504000032, 5.436596968727218, 5.41414939927273, 5.419465262545439, 5.438253093236343, 5.441180020363669], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_r2dbcproj_r2dbc-h2method_io.r2dbc.h2.StagedResultSizeBenchmarks.simpleR2dbcparams_resultSize=10,"([0.9333333333333333, 0.9334893048128342, 0.9332886356017432, 0.9333109919571045, 0.9333109919571045, 0.9333109919571045, 0.9333333333333333, 0.9334448160535117, 0.9334002677376171, 0.9334002677376171], [0.016417039419521787, 0.010036007421419914, 0.01660585835464045, 0.010635536212410285, 0.014777833706540221, 0.014940224469461395, 0.011353989407837882, 0.016685992213041484, 0.011319087242402947, 0.01890834815826384], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_logging-log4j2method_org.apache.logging.log4j.perf.jmh.FileAppenderThrowableBenchmark.simpleThrowableparams_loggingConfiguration=LOG4J2_THROWABLE_ASYNC,"([0.49047141424272817, 0.5686077643908969, 0.5527991954408313, 0.42064817908453056, 0.5073529411764706, 0.11532014750251425, 0.5921712947474072, 0.5835286240374958, 0.5670792907326865, 0.5870147255689424], [0.10291816324479983, 0.023475926201684656, 0.030749006634994153, 0.13750408148131776, 0.09835525886121207, 0.3939656695559351, 0.02378080533560604, 0.02467537027988889, 0.026338474495572382, 0.022503812770091794], [True, True, True, True, True, False, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_prestodbproj_prestomethod_com.facebook.presto.operator.scalar.StringFunctionsBenchmark.benchmarkSubstringStartLengthFromEndparams_ascii=false&length=10,"([0.9334893048128342, 0.9334002677376171, 0.9334670678702774, 0.9334670678702774, 0.9332214765100671, 0.9332886356017432, 0.9334225493476079, 0.9333556597454788, 0.9334225493476079, 0.9334893048128342], [0.18248828490260208, 0.18432135190381946, 0.1843247635917901, 0.18458171647237384, 0.18458213213278654, 0.1843228129853652, 0.1819629680112671, 0.18458092229987952, 0.18537071871690894, 0.18274713608710827], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_tinkerpopmethod_org.apache.tinkerpop.gremlin.process.GraphTraversalBenchmark.g_E_hasLabelXwrittenByX_whereXinV_inEXsungByX_count_isX0XX_subgraphXsgXparams_,"([0.9335559265442404, 0.9201736806947228, 0.8984635938543755, 0.930193720774883, 0.9334448160535117, 0.8984974958263773, 0.9334448160535117, 0.9284041485446638, 0.9335115268960908, 0.0671118530884808], [0.568505106200515, 0.6852124792039539, 0.8415244268957573, 0.567411495418606, 0.5981318583660681, 0.8609933664934263, 0.6070841995350897, 0.6464734075447032, 0.5653527307122795, 6.632945284800519], [True, True, True, True, True, True, True, True, True, False], [True, True, True, True, True, True, True, True, True, True])"
org_imglibproj_imglib2method_net.imglib2.parallel.ParallelizationBenchmark.multiThreadedparams_,"([0.9336666666666666, 0.9336666666666666, 0.9336002669336003, 0.9336666666666666, 0.9336445481827276, 0.9336445481827276, 0.9335781041388518, 0.9336224149432956, 0.9336445481827276, 0.9336445481827276], [8.62046344533333, 8.49698269866667, 8.558444544000002, 8.449272490666667, 8.555298815999997, 9.129568938666672, 8.54179839999999, 8.532448597333333, 8.830331562666665, 8.542541141333334], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_prometheusproj_client_javamethod_io.prometheus.benchmark.GaugeBenchmark.prometheusGaugeChildSetBenchmarkparams_,"([0.9336445481827276, 0.9336445481827276, 0.932, 0.932, 0.8686666666666667, 0.9336224149432956, 0.9336666666666666, 0.9303101033677893, 0.9319773257752584, 0.9336224149432956], [9.575130495310652e-06, 8.88889787583566e-06, 9.685229318247154e-06, 9.067493320451382e-06, 1.744104299934365e-05, 8.923884106111904e-06, 9.521030457303327e-06, 9.45668844743243e-06, 9.175844640140996e-06, 8.950117428831632e-06], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_cantaloupe-projectproj_cantaloupemethod_edu.illinois.library.cantaloupe.perf.processor.Java2dProcessorPerformance.processWithPNGparams_,"([0.9336002669336003, 0.9335115268960908, 0.9334448160535117, 0.9335115268960908, 0.9334448160535117, 0.9335115268960908, 0.9318864774624374, 0.9334225493476079, 0.9334670678702774, 0.9334893048128342], [0.39118832333500275, 0.3824014222228405, 0.4630343775762607, 0.3856832183916917, 0.38509697328290904, 0.4013879132761209, 0.3913920107737973, 0.3938448350240824, 0.41018480792895984, 0.4343004806041828], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_RoaringBitmapproj_RoaringBitmapmethod_org.roaringbitmap.iteration.BatchIteratorBenchmark.batchIterateparams_bufferSize=256&dirtiness=0.5&keys=256&runniness=0.5,"([0.8933823529411765, 0.8916750250752257, 0.893239625167336, 0.8932753429240549, 0.8916750250752257, 0.8914936369725385, 0.8916025426564068, 0.8933467067870278, 0.8933467067870278, 0.8933110367892977], [0.2895432285039815, 0.2978197482916811, 0.28985120584094537, 0.289750328732739, 0.297920087184859, 0.2981117450846371, 0.3021814162369263, 0.28986868107486624, 0.2896261574336349, 0.28954084776599975], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_r2dbcproj_r2dbc-h2method_io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbcparams_resultSize=1,"([0.9148793565683646, 0.9284041485446638, 0.9333556597454788, 0.9333779712085705, 0.9332662642521797, 0.9318181818181818, 0.9332214765100671, 0.9334225493476079, 0.9334002677376171, 0.9333556597454788], [0.000398738678485154, 0.0003769659200693425, 0.00038473051640276713, 0.00035217142744909904, 0.00035261283193717635, 0.0003618739971693818, 0.00036232886931013633, 0.0003391065089322849, 0.0003486117904106258, 0.00038848592670743604], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
