Benchmark,Steady Percentage
org_raphwproj_byte-buddymethod_net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecializedparams_,"([0.8336112037345782, 0.8336666666666667, 0.8338892595063375, 0.8336112037345782, 0.8338338338338338, 0.6068689563187729, 0.8338338338338338, 0.8335557038025351, 0.8338892595063375, 0.6350900600400267], [0.5497350472843407, 0.5319998437406523, 0.5651303468428209, 0.5571706376510047, 0.5419098133652688, 1.068910069672485, 0.52892605242472, 0.5902625459440064, 0.5372270047650282, 0.9802218751883754], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_prometheusproj_client_javamethod_io.prometheus.benchmark.GaugeBenchmark.prometheusSimpleGaugeChildDecBenchmarkparams_,"([0.8338892595063375, 0.8335557038025351, 0.8336112037345782, 0.8335001668335001, 0.834, 0.8336666666666667, 0.8336666666666667, 0.8339446482160721, 0.8339446482160721, 0.8336112037345782], [2.4593341214326674e-05, 2.476530118340847e-05, 2.4248699539669262e-05, 2.473866608395485e-05, 2.442161205399107e-05, 2.4687230956557714e-05, 2.480625687098101e-05, 2.4849174033667467e-05, 2.4799659653458516e-05, 2.448581909353373e-05], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_logging-log4j2method_org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jClassicDebugStringConcatenationparams_,"([0.8343333333333334, 0.8333333333333334, 0.8334445927903872, 0.8336673346693386, 0.8338892595063375, 0.8335557038025351, 0.8333889816360601, 0.8335001668335001, 0.8332776478449716, 0.8322214809873248], [4.60229750443055e-05, 5.322203529817792e-05, 5.2081981931980725e-05, 5.43523922236243e-05, 5.187919727878696e-05, 5.399151501549558e-05, 5.469472161731244e-05, 5.445117629862205e-05, 4.616311623072083e-05, 5.765884186441512e-05], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_crateproj_cratemethod_io.crate.execution.engine.reader.JsonReaderBenchmark.measureFileReadingIteratorForJsonparams_,"([0.8336666666666667, 0.8336666666666667, 0.8336666666666667, 0.8336666666666667, 0.834, 0.667, 0.8335557038025351, 0.8336666666666667, 0.8335557038025351, 0.8336112037345782], [0.5779389826873819, 0.4705048832817163, 0.47319233491642193, 0.4745874644816187, 0.467839784168461, 0.4865174401953751, 0.4744012879916788, 0.46943510407854283, 0.47398402763863645, 0.471441861419432], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_eclipseproj_rdf4jmethod_org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectDistinctparams_countk=50&limit=50000&syncThreshold=0,"([0.833, 0.7286666666666667, 0.827, 0.8186666666666667, 0.818, 0.834, 0.827, 0.834, 0.8343333333333334, 0.8336666666666667], [177.7026990079999, 287.6097167359999, 186.30626508799998, 191.74994739199997, 195.92852275199985, 178.5132482559999, 189.04829132800006, 175.94318848000006, 175.864020992, 178.0602634239998], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_r2dbcproj_r2dbc-h2method_io.r2dbc.h2.StagedResultSizeBenchmarks.parametrizedR2dbcparams_resultSize=100,"([0.8331103678929765, 0.8332219251336899, 0.8330539725108951, 0.8329427519250083, 0.8332775359892869, 0.8335561497326203, 0.8336673346693386, 0.8336673346693386, 0.8329986613119144, 0.8333333333333334], [0.16789082612208459, 0.13770844912687158, 0.08616781061591283, 0.08781049844318971, 0.1401820938036277, 0.08707059038713105, 0.086964482092878, 0.08804891542230862, 0.13722241201421523, 0.1366314756607322], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_eclipse-vertxproj_vert.xmethod_io.vertx.benchmarks.HttpServerHandlerBenchmark.nettyparams_,"([0.8330539725108951, 0.8325503355704698, 0.1751090238175109, 0.8331099195710456, 0.8332217012726055, 0.8308106289942818, 0.8327175008397716, 0.8329979879275654, 0.8328298086606244, 0.6647631844138394], [0.0013310909629683783, 0.001265621059973875, 0.005206952723642188, 0.001171853315461166, 0.0012866053020589767, 0.0012793444004760698, 0.0012132786076113936, 0.001199411368874602, 0.0011385138260742147, 0.0013139897335860454], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_arrowmethod_org.apache.arrow.vector.ipc.message.ArrowRecordBatchBenchmarks.createAndGetLengthparams_,"([0.833389093342255, 0.8331099195710456, 0.832774798927614, 0.8329979879275654, 0.16783684386492811, 0.38634081017743555, 0.8327187395239691, 0.8312646762831265, 0.6658855038500168, 0.8329986613119144], [0.00017358256816043, 0.0001635901129988337, 0.0001576671415108285, 0.000184725639512277, 0.0007253181229702571, 0.00016004610678324425, 0.00016212868785828342, 0.0001723100892068069, 0.00016220648577223144, 0.00016486148205828953], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_logging-log4j2method_org.apache.logging.log4j.perf.jmh.ThreadsafeDateFormatBenchmark.fastDateFormatparams_,"([0.8331099195710456, 0.8325503355704698, 0.8328859060402685, 0.8332217012726055, 0.6654387139986604, 0.8329979879275654, 0.832212508406187, 0.8329427519250083, 0.8203834510595358, 0.832997311827957], [0.0004018895661701388, 0.0003463935980019696, 0.0003631082757350789, 0.0003418058775311248, 0.0007036172159329879, 0.0003594451703535434, 0.00039705605826342096, 0.0003498937258397418, 0.0003567768075337686, 0.00032598520507199816], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_r2dbcproj_r2dbc-h2method_io.r2dbc.h2.StagedResultSizeBenchmarks.preparedJdbcparams_resultSize=10,"([0.8245144005358339, 0.8330539725108951, 0.8332775359892869, 0.8336680053547524, 0.8329427519250083, 0.8327187395239691, 0.8336680053547524, 0.8322689075630252, 0.8332775359892869, 0.826465661641541], [0.0012407593122863575, 0.0011798112021347603, 0.0012599829203568818, 0.0011672498694423761, 0.0011572767922360253, 0.0011604835738827993, 0.0011881940513235358, 0.0011841649641669571, 0.0011680117841214176, 0.0012799045662518903], [True, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
