Benchmark,Steady Percentage
org_yellowstonegamesproj_SquidLibmethod_squidpony.performance.DataStructureBenchmark.insertIntegerSquidDefaultOS3params_NEED_TO_ENLARGE=0&SIZE=65536,"([0.5156666666666667, 0.7913333333333333, 0.601, 0.7246666666666667, 0.51, 0.49866666666666665, 0.48833333333333334, 0.475, 0.36333333333333334, 0.6823333333333333], [0.5095730732786479, 0.20874468482155745, 0.1852881654716917, 0.19689723359268413, 0.1855062209718977, 0.5793178874306623, 0.5779222019153876, 0.7892095014550522, 0.20589574379487482, 0.4625269590194027], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, True, True, True, True, True])"
org_hazelcastproj_hazelcastmethod_com.hazelcast.internal.util.collection.OAHashSetBenchmark.remove_java_HashSetparams_size=100000,"([0.6743333333333333, 0.8096666666666666, 0.8076666666666666, 0.728, 0.916, 0.7443333333333333, 0.915, 0.9163333333333333, 0.6736666666666666, 0.811], [0.00031411837705716913, 0.000291786171219945, 0.00031476171698626836, 0.00028849819355587775, 0.00014152166179873937, 0.00029948526001807456, 0.00014296713881034432, 0.00015026021838352192, 0.0004111634103596009, 0.00029415960282399173], [False, True, True, False, True, False, True, True, False, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_camelmethod_org.apache.camel.itest.jmh.SimpleExpressionTest.simpleExpressionparams_,"([0.7256666666666667, 0.7843333333333333, 0.7226666666666667, 0.8026666666666666, 0.7033333333333334, 0.6873333333333334, 0.6976666666666667, 0.8613333333333333, 0.7286666666666667, 0.7863333333333333], [1.0947914801372207, 1.1442591306344994, 2.061591993703258, 1.9532653168160004, 1.2503091953867063, 3.361953429631464, 1.0255126984573482, 1.1704979993304372, 1.9360527105956458, 1.1637719829579218], [False, False, False, False, False, False, False, True, False, False], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_tinkerpopmethod_org.apache.tinkerpop.gremlin.process.GraphMutateBenchmark.testAddVertexWithPropsparams_,"([0.524, 0.7116666666666667, 0.497, 0.5496666666666666, 0.7193333333333334, 0.7313333333333333, 0.5043333333333333, 0.35433333333333333, 0.5826666666666667, 0.8603333333333333], [0.003897325473755819, 0.002171090194106346, 0.002521041370898416, 0.004233990452599593, 0.0022686785121909477, 0.0022114912522478397, 0.0024322657334946685, 0.005450673436001424, 0.0022019380966278902, 0.0023457090828349716], [False, False, False, False, False, False, False, False, False, True], [True, True, True, True, True, True, True, True, True, True])"
org_nettyproj_nettymethod_io.netty.handler.codec.http2.Http2FrameWriterDataBenchmark.newWriterparams_padding=100&payloadSize=1048576&pooled=true,"([0.7136666666666667, 0.742, 0.8446666666666667, 0.9343333333333333, 0.37533333333333335, 0.788, 0.4076666666666667, 0.751, 0.4766666666666667, 0.8646666666666667], [0.00013890668228227113, 0.0003125635683819169, 0.00015946891927118872, 0.0001204498024477255, 0.0002681847682039303, 0.0002263356653803474, 0.0002632690582942588, 0.00014536378955824577, 0.00023737607510495435, 0.0001272623334490654], [False, False, True, True, False, False, False, False, False, True], [True, True, True, True, True, True, True, True, True, True])"
org_jdbiproj_jdbimethod_org.jdbi.v3.benchmark.sqlobject.H2SqlObjectV2Benchmark.sqlobjectInsertGeneratedKeyValuesparams_,"([0.15766666666666668, 0.44366666666666665, 0.37266666666666665, 0.44333333333333336, 0.6506666666666666, 0.19466666666666665, 0.6336666666666667, 0.7093333333333334, 0.6856666666666666, 0.22933333333333333], [0.013244004138298585, 0.0026402041603663775, 0.00643084440502631, 0.00273454909571621, 0.0027871852561088327, 0.015038952108867245, 0.004482967064178154, 0.0028083491728032083, 0.007077822839886975, 0.002832353394092991], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, True, True, True, True, True])"
org_raphwproj_byte-buddymethod_net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixparams_,"([0.685, 0.792, 0.724, 0.531, 0.5683333333333334, 0.5946666666666667, 0.808, 0.6313333333333333, 0.167, 0.455], [0.7960041241027116, 0.36528713141911995, 0.5626650040399386, 0.594167441726512, 0.7555193677129793, 1.0228233811746343, 0.6509280465464484, 0.5351126909689619, 0.35556417966664017, 0.5857934339478668], [False, False, False, False, False, False, True, False, False, False], [True, True, True, True, True, True, True, True, True, True])"
org_eclipseproj_eclipse-collectionsmethod_org.eclipse.collections.impl.jmh.map.EcImmutableMapGetTest.getparams_size=9250000,"([0.937, 0.9373333333333334, 0.7983333333333333, 0.795, 0.8966666666666666, 0.9373333333333334, 0.929, 0.937, 0.9236666666666666, 0.9253333333333333], [202.707042304, 201.474965504, 355.3215119360005, 223.201460224, 318.85518438399987, 202.48317132800003, 224.02197094400006, 205.5670333440001, 241.8802688000001, 233.5975669760002], [True, True, True, False, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_apacheproj_logging-log4j2method_org.apache.logging.log4j.perf.jmh.DebugDisabledBenchmark.log4jClassicDebugStringConcatenationparams_,"([0.8646666666666667, 0.22933333333333333, 0.8536666666666667, 0.869, 0.7006666666666667, 0.8623333333333333, 0.8593333333333333, 0.9346666666666666, 0.8546666666666667, 0.7926666666666666], [3.9285209925320095e-05, 2.400415606672675e-05, 4.722161810654636e-05, 4.659890461643956e-05, 2.4950986371292377e-05, 4.682852442300353e-05, 4.809210521952094e-05, 2.570294146805508e-05, 2.2218020934329265e-05, 4.720227891081902e-05], [True, False, True, True, False, True, True, True, True, False], [True, True, True, True, True, True, True, True, True, True])"
org_eclipseproj_eclipse-collectionsmethod_org.eclipse.collections.impl.jmh.map.KolobokeMutableMapGetTest.getparams_size=5500000,"([0.7916666666666666, 0.87, 0.3883333333333333, 0.492, 0.638, 0.49533333333333335, 0.6756666666666666, 0.8316666666666667, 0.825, 0.7836666666666666], [128.44007423999994, 117.8997882880004, 293.4198763520008, 249.49869772800025, 288.3982458880002, 210.80991334400056, 282.4559656959995, 305.89268787200064, 144.84399718399985, 267.3512284159995], [False, True, False, False, False, False, False, True, True, False], [True, True, True, True, True, True, True, True, True, True])"
org_zalandoproj_logbookmethod_org.zalando.logbook.LogbookBenchmark.plainparams_,"([0.5606666666666666, 0.7083333333333334, 0.7066666666666667, 0.788, 0.6976666666666667, 0.37366666666666665, 0.646, 0.781, 0.7176666666666667, 0.6146666666666667], [0.018503563071902176, 0.008715526412603649, 0.020481089439861502, 0.01556940672085729, 0.014907701958883593, 0.008888933188295301, 0.019677220474204532, 0.008573071573213801, 0.014672302932026442, 0.016878626711783678], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, True, True, True, True, True])"
org_imglibproj_imglib2method_net.imglib2.loops.LoopPerformanceBenchmark.copy_pairedViewparams_,"([0.4836666666666667, 0.484, 0.483, 0.48333333333333334, 0.48333333333333334, 0.4836666666666667, 0.4836666666666667, 0.4836666666666667, 0.4826666666666667, 0.48433333333333334], [27.93989188266649, 27.918752153599797, 27.91928081066654, 27.930890513066522, 27.92292679679988, 27.921450052266458, 27.91193640959989, 27.927587498666576, 27.914742442666466, 27.923868330666405], [False, False, True, True, False, False, False, True, False, False], [True, True, True, True, True, True, True, True, True, True])"
org_zalandoproj_logbookmethod_org.zalando.logbook.HeaderBenchmark.autoconfigurationResponseparams_,"([0.5096666666666667, 0.6596666666666666, 0.6863333333333334, 0.8686666666666667, 0.5813333333333334, 0.5856666666666667, 0.624, 0.7236666666666667, 0.63, 0.6936666666666667], [7.400742178989398e-05, 0.0001342692384433285, 7.777843222538677e-05, 9.878618182242624e-05, 0.00011742026287526918, 0.00028498473215644377, 7.704629851123788e-05, 7.612738397734989e-05, 0.00010281403113887201, 9.185397771621882e-05], [False, False, False, True, False, False, False, False, False, False], [True, True, True, True, True, True, True, True, True, True])"
org_raphwproj_byte-buddymethod_net.bytebuddy.benchmark.ClassByImplementationBenchmark.baselineparams_,"([0.278, 0.8143333333333334, 0.894, 0.9366666666666666, 0.9256666666666666, 0.936, 0.8033333333333333, 0.8933333333333333, 0.91, 0.9063333333333333], [1.347224322992959e-05, 2.165804948756027e-05, 1.9921156928136496e-05, 1.3272352668614041e-05, 1.3452030992302243e-05, 1.3931793696643744e-05, 3.903012767263453e-05, 1.964860505323689e-05, 1.7631141268404016e-05, 1.8765866154474344e-05], [False, True, True, True, True, True, True, True, True, True], [True, True, True, True, True, True, True, True, True, True])"
org_imglibproj_imglib2method_net.imglib2.loops.LoopPerformanceBenchmark.gradient_niceAndSlowparams_,"([0.22, 0.22, 0.21933333333333332, 0.21933333333333332, 0.221, 0.21966666666666668, 0.21933333333333332, 0.22, 0.22033333333333333, 0.221], [73.90329241600017, 73.85758924800002, 73.91153083733367, 73.9251896320004, 73.71868023466676, 73.89936298666677, 73.85847125333332, 73.79758011733333, 73.6695091200003, 73.67447620266668], [False, False, False, False, False, False, False, False, False, False], [True, True, True, True, True, True, True, True, True, True])"
